model,n_features_before_encoding,val_mae,val_rmse,val_rmsle,val_r2
hist_gradient_boosting_with_features,25,10372738.740663204,48448752.7093101,0.21162576832816785,0.7355820704552061
extra_trees_with_features,25,10866642.862190869,49290085.25479884,0.2326771675022802,0.726318880731771
ridge_with_features,25,12275929.448644418,57480308.959725276,0.23413609472799576,0.627810697633163
random_forest_with_features,25,11693187.120760147,51343743.38040279,0.24174587945140805,0.7030380838192711
knn_raw_baseline,11,13706059.866915306,57182153.74749276,0.2744397929300706,0.6316618381923108
dummy_median_raw,11,31723884.163390663,97967046.40003537,1.096221604231818,-0.08114944103266297
